"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 10:43:55 GMT 2024","Sun Apr 21 10:43:55 GMT 2024","224","","API Tests","Get Milestone Negative Tests","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Sun Apr 21 10:43:55 GMT 2024","Sun Apr 21 10:43:56 GMT 2024","230","","API Tests","Get Milestone Tests","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Sun Apr 21 10:44:00 GMT 2024","Sun Apr 21 10:44:02 GMT 2024","2921","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"failed","Sun Apr 21 10:43:54 GMT 2024","Sun Apr 21 10:44:00 GMT 2024","5483","","GUI Tests","Failed Add Section Test","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"failed","Sun Apr 21 10:43:56 GMT 2024","Sun Apr 21 10:43:56 GMT 2024","298","","API Tests","Case API Tests","GetTest","GetCaseTest","GetCaseTest",""
"passed","Sun Apr 21 10:44:01 GMT 2024","Sun Apr 21 10:44:03 GMT 2024","2131","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Sun Apr 21 10:43:56 GMT 2024","Sun Apr 21 10:43:56 GMT 2024","251","","API Tests","Delete Case Tests","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Sun Apr 21 10:43:55 GMT 2024","Sun Apr 21 10:43:55 GMT 2024","252","","API Tests","Get Section Negative Tests","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"passed","Sun Apr 21 10:43:56 GMT 2024","Sun Apr 21 10:43:56 GMT 2024","290","","API Tests","Section API Tests","GetTest","AddCaseTest","AddCaseTest",""
"passed","Sun Apr 21 10:43:54 GMT 2024","Sun Apr 21 10:43:55 GMT 2024","612","","API Tests","Section API Tests","GetTest","GetSectionTest","GetSectionTest",""
"passed","Sun Apr 21 10:43:59 GMT 2024","Sun Apr 21 10:44:06 GMT 2024","7371","","GUI Tests","Successful Delete Section Test","SectionTest","DeleteSectionTest","DeleteSectionTest",""
"passed","Sun Apr 21 10:43:54 GMT 2024","Sun Apr 21 10:43:59 GMT 2024","4909","","GUI Tests","Successful PopUp Message Test","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"passed","Sun Apr 21 10:43:54 GMT 2024","Sun Apr 21 10:44:01 GMT 2024","7304","","GUI Tests","Successful Add Section Test","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Sun Apr 21 10:43:56 GMT 2024","Sun Apr 21 10:44:03 GMT 2024","6907","","GUI Tests","Successful Limit Value Test","SectionTest","LimitValueTest","LimitValueTest",""
