"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 19 11:12:24 GMT 2024","Fri Apr 19 11:12:36 GMT 2024","11390","","","","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Fri Apr 19 11:12:25 GMT 2024","Fri Apr 19 11:12:25 GMT 2024","734","","","","GetTest","GetSectionTest","GetSectionTest",""
"passed","Fri Apr 19 11:12:26 GMT 2024","Fri Apr 19 11:12:26 GMT 2024","293","","","","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Fri Apr 19 11:12:25 GMT 2024","Fri Apr 19 11:12:26 GMT 2024","290","","","","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"failed","Fri Apr 19 11:12:27 GMT 2024","Fri Apr 19 11:12:36 GMT 2024","8621","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"failed","Fri Apr 19 11:12:36 GMT 2024","Fri Apr 19 11:12:36 GMT 2024","203","","","","SectionTest","DeleteSectionTest","DeleteSectionTest",""
"passed","Fri Apr 19 11:12:26 GMT 2024","Fri Apr 19 11:12:27 GMT 2024","366","","","","GetTest","AddCaseTest","AddCaseTest",""
"failed","Fri Apr 19 11:12:24 GMT 2024","Fri Apr 19 11:12:36 GMT 2024","11390","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"failed","Fri Apr 19 11:12:36 GMT 2024","Fri Apr 19 11:12:36 GMT 2024","270","","","","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Fri Apr 19 11:12:26 GMT 2024","Fri Apr 19 11:12:26 GMT 2024","279","","","","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Fri Apr 19 11:12:27 GMT 2024","Fri Apr 19 11:12:27 GMT 2024","288","","","","GetTest","GetCaseTest","GetCaseTest",""
"passed","Fri Apr 19 11:12:27 GMT 2024","Fri Apr 19 11:12:27 GMT 2024","330","","","","GetTest","DeleteCaseTest","DeleteCaseTest",""
"failed","Fri Apr 19 11:12:24 GMT 2024","Fri Apr 19 11:12:36 GMT 2024","11390","","","","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"failed","Fri Apr 19 11:12:36 GMT 2024","Fri Apr 19 11:12:36 GMT 2024","322","","","","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
