"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 07:26:04 GMT 2024","Sat Apr 20 07:26:04 GMT 2024","283","","","","GetTest","AddCaseTest","AddCaseTest",""
"passed","Sat Apr 20 07:26:06 GMT 2024","Sat Apr 20 07:26:12 GMT 2024","6275","","","","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Sat Apr 20 07:26:02 GMT 2024","Sat Apr 20 07:26:03 GMT 2024","576","","","","GetTest","GetSectionTest","GetSectionTest",""
"passed","Sat Apr 20 07:26:03 GMT 2024","Sat Apr 20 07:26:04 GMT 2024","237","","","","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Sat Apr 20 07:26:04 GMT 2024","Sat Apr 20 07:26:05 GMT 2024","346","","","","GetTest","DeleteCaseTest","DeleteCaseTest",""
"failed","Sat Apr 20 07:26:02 GMT 2024","Sat Apr 20 07:26:10 GMT 2024","7822","","","","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Sat Apr 20 07:26:03 GMT 2024","Sat Apr 20 07:26:03 GMT 2024","208","","","","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"passed","Sat Apr 20 07:26:05 GMT 2024","Sat Apr 20 07:26:08 GMT 2024","3331","","","","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"passed","Sat Apr 20 07:26:02 GMT 2024","Sat Apr 20 07:26:06 GMT 2024","3241","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Sat Apr 20 07:26:02 GMT 2024","Sat Apr 20 07:26:06 GMT 2024","4086","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Sat Apr 20 07:26:04 GMT 2024","Sat Apr 20 07:26:04 GMT 2024","206","","","","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Sat Apr 20 07:26:06 GMT 2024","Sat Apr 20 07:26:10 GMT 2024","3672","","","","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"passed","Sat Apr 20 07:26:04 GMT 2024","Sat Apr 20 07:26:04 GMT 2024","212","","","","GetTest","GetCaseTest","GetCaseTest",""
