"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 17:50:53 GMT 2024","Fri Apr 19 17:51:05 GMT 2024","12693","","","","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Fri Apr 19 17:50:53 GMT 2024","Fri Apr 19 17:50:53 GMT 2024","498","","","","GetTest","GetSectionTest","GetSectionTest",""
"passed","Fri Apr 19 17:50:53 GMT 2024","Fri Apr 19 17:50:54 GMT 2024","243","","","","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"passed","Fri Apr 19 17:51:03 GMT 2024","Fri Apr 19 17:51:07 GMT 2024","3721","","","","SectionTest","DeleteSectionTest","DeleteSectionTest",""
"passed","Fri Apr 19 17:50:55 GMT 2024","Fri Apr 19 17:50:55 GMT 2024","302","","","","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Fri Apr 19 17:50:55 GMT 2024","Fri Apr 19 17:51:04 GMT 2024","9221","","","","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"failed","Fri Apr 19 17:51:04 GMT 2024","Fri Apr 19 17:51:08 GMT 2024","3956","","","","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Fri Apr 19 17:50:55 GMT 2024","Fri Apr 19 17:50:55 GMT 2024","237","","","","GetTest","GetCaseTest","GetCaseTest",""
"passed","Fri Apr 19 17:50:53 GMT 2024","Fri Apr 19 17:51:03 GMT 2024","10220","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Fri Apr 19 17:51:04 GMT 2024","Fri Apr 19 17:51:08 GMT 2024","4035","","","","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"passed","Fri Apr 19 17:50:54 GMT 2024","Fri Apr 19 17:50:54 GMT 2024","268","","","","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Fri Apr 19 17:50:54 GMT 2024","Fri Apr 19 17:50:54 GMT 2024","230","","","","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Fri Apr 19 17:50:54 GMT 2024","Fri Apr 19 17:50:55 GMT 2024","363","","","","GetTest","AddCaseTest","AddCaseTest",""
"passed","Fri Apr 19 17:50:53 GMT 2024","Fri Apr 19 17:51:04 GMT 2024","11113","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
