"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 10:55:01 GMT 2024","Fri Apr 19 10:55:01 GMT 2024","359","","","","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Fri Apr 19 10:55:02 GMT 2024","Fri Apr 19 10:55:02 GMT 2024","468","","","","GetTest","AddCaseTest","AddCaseTest",""
"passed","Fri Apr 19 10:55:04 GMT 2024","Fri Apr 19 10:55:13 GMT 2024","8911","","","","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Fri Apr 19 10:55:03 GMT 2024","Fri Apr 19 10:55:03 GMT 2024","431","","","","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Fri Apr 19 10:55:02 GMT 2024","Fri Apr 19 10:55:03 GMT 2024","333","","","","GetTest","GetCaseTest","GetCaseTest",""
"passed","Fri Apr 19 10:55:03 GMT 2024","Fri Apr 19 10:55:07 GMT 2024","4234","","","","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"passed","Fri Apr 19 10:55:00 GMT 2024","Fri Apr 19 10:55:05 GMT 2024","5078","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Fri Apr 19 10:55:00 GMT 2024","Fri Apr 19 10:55:04 GMT 2024","4408","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Fri Apr 19 10:55:01 GMT 2024","Fri Apr 19 10:55:01 GMT 2024","284","","","","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"passed","Fri Apr 19 10:55:00 GMT 2024","Fri Apr 19 10:55:01 GMT 2024","921","","","","GetTest","GetSectionTest","GetSectionTest",""
"passed","Fri Apr 19 10:55:00 GMT 2024","Fri Apr 19 10:55:07 GMT 2024","6941","","","","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Fri Apr 19 10:55:05 GMT 2024","Fri Apr 19 10:55:10 GMT 2024","4939","","","","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"passed","Fri Apr 19 10:55:01 GMT 2024","Fri Apr 19 10:55:02 GMT 2024","336","","","","GetTest","GetMilestoneTest","GetMilestoneTest",""
