"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 18:00:49 GMT 2024","Fri Apr 19 18:01:07 GMT 2024","17676","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Fri Apr 19 18:00:48 GMT 2024","Fri Apr 19 18:00:49 GMT 2024","254","","","","GetTest","GetCaseTest","GetCaseTest",""
"passed","Fri Apr 19 18:00:47 GMT 2024","Fri Apr 19 18:00:47 GMT 2024","225","","","","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"passed","Fri Apr 19 18:00:48 GMT 2024","Fri Apr 19 18:00:48 GMT 2024","216","","","","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Fri Apr 19 18:00:46 GMT 2024","Fri Apr 19 18:01:08 GMT 2024","21209","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Fri Apr 19 18:01:07 GMT 2024","Fri Apr 19 18:01:10 GMT 2024","3027","","","","SectionTest","DeleteSectionTest","DeleteSectionTest",""
"passed","Fri Apr 19 18:00:49 GMT 2024","Fri Apr 19 18:00:49 GMT 2024","304","","","","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Fri Apr 19 18:00:46 GMT 2024","Fri Apr 19 18:01:11 GMT 2024","24787","","","","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"passed","Fri Apr 19 18:01:09 GMT 2024","Fri Apr 19 18:01:12 GMT 2024","3065","","","","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"passed","Fri Apr 19 18:00:47 GMT 2024","Fri Apr 19 18:00:48 GMT 2024","590","","","","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Fri Apr 19 18:00:47 GMT 2024","Fri Apr 19 18:00:47 GMT 2024","396","","","","GetTest","GetSectionTest","GetSectionTest",""
"passed","Fri Apr 19 18:01:08 GMT 2024","Fri Apr 19 18:01:11 GMT 2024","3392","","","","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Fri Apr 19 18:00:46 GMT 2024","Fri Apr 19 18:01:09 GMT 2024","22899","","","","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Fri Apr 19 18:00:48 GMT 2024","Fri Apr 19 18:00:48 GMT 2024","253","","","","GetTest","AddCaseTest","AddCaseTest",""
