"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 09:42:50 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","250","","API Tests","Case API Tests","GetTest","GetCaseTest","GetCaseTest",""
"failed","Sat Apr 20 09:42:48 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","1673","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Sat Apr 20 09:42:49 GMT 2024","Sat Apr 20 09:42:49 GMT 2024","210","","API Tests","Get Milestone Tests","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Sat Apr 20 09:42:49 GMT 2024","Sat Apr 20 09:42:49 GMT 2024","239","","API Tests","Get Milestone Negative Tests","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"failed","Sat Apr 20 09:42:50 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","299","","GUI Tests","Successful PopUp Message Test","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"passed","Sat Apr 20 09:42:48 GMT 2024","Sat Apr 20 09:42:49 GMT 2024","573","","API Tests","Section API Tests","GetTest","GetSectionTest","GetSectionTest",""
"passed","Sat Apr 20 09:42:49 GMT 2024","Sat Apr 20 09:42:49 GMT 2024","206","","API Tests","Get Section Negative Tests","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"failed","Sat Apr 20 09:42:50 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","206","","GUI Tests","Failed Add Section Test","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"passed","Sat Apr 20 09:42:50 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","263","","API Tests","Delete Case Tests","GetTest","DeleteCaseTest","DeleteCaseTest",""
"failed","Sat Apr 20 09:42:48 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","1672","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"failed","Sat Apr 20 09:42:48 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","1672","","GUI Tests","Successful Add Section Test","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Sat Apr 20 09:42:49 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","311","","API Tests","Section API Tests","GetTest","AddCaseTest","AddCaseTest",""
"failed","Sat Apr 20 09:42:50 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","298","","GUI Tests","Successful Limit Value Test","SectionTest","LimitValueTest","LimitValueTest",""
"failed","Sat Apr 20 09:42:50 GMT 2024","Sat Apr 20 09:42:50 GMT 2024","308","","GUI Tests","Successful Delete Section Test","SectionTest","DeleteSectionTest","DeleteSectionTest",""
