"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 15:56:09 GMT 2024","Tue Apr 23 15:56:10 GMT 2024","272","","API Tests","Get Milestone Negative Tests","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Tue Apr 23 15:56:10 GMT 2024","Tue Apr 23 15:56:10 GMT 2024","299","","API Tests","Section API Tests","GetTest","AddCaseTest","AddCaseTest",""
"failed","Tue Apr 23 15:56:13 GMT 2024","Tue Apr 23 15:56:14 GMT 2024","357","","GUI Tests","Successful Delete Section Test","SectionTest","DeleteSectionTest","DeleteSectionTest",""
"failed","Tue Apr 23 15:56:13 GMT 2024","Tue Apr 23 15:56:14 GMT 2024","345","","GUI Tests","Successful Limit Value Test","SectionTest","LimitValueTest","LimitValueTest",""
"failed","Tue Apr 23 15:56:08 GMT 2024","Tue Apr 23 15:56:13 GMT 2024","4839","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Tue Apr 23 15:56:09 GMT 2024","Tue Apr 23 15:56:09 GMT 2024","266","","API Tests","Get Section Negative Tests","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"passed","Tue Apr 23 15:56:10 GMT 2024","Tue Apr 23 15:56:10 GMT 2024","312","","API Tests","Get Milestone Tests","GetTest","GetMilestoneTest","GetMilestoneTest",""
"failed","Tue Apr 23 15:56:08 GMT 2024","Tue Apr 23 15:56:13 GMT 2024","4839","","GUI Tests","Successful PopUp Message Test","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"failed","Tue Apr 23 15:56:08 GMT 2024","Tue Apr 23 15:56:09 GMT 2024","597","","API Tests","Section API Tests","GetTest","GetSectionTest","GetSectionTest",""
"failed","Tue Apr 23 15:56:10 GMT 2024","Tue Apr 23 15:56:11 GMT 2024","268","","API Tests","Case API Tests","GetTest","GetCaseTest","GetCaseTest",""
"failed","Tue Apr 23 15:56:08 GMT 2024","Tue Apr 23 15:56:13 GMT 2024","4839","","GUI Tests","Successful Add Section Test","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Tue Apr 23 15:56:11 GMT 2024","Tue Apr 23 15:56:11 GMT 2024","290","","API Tests","Delete Case Tests","GetTest","DeleteCaseTest","DeleteCaseTest",""
"failed","Tue Apr 23 15:56:11 GMT 2024","Tue Apr 23 15:56:13 GMT 2024","2366","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"failed","Tue Apr 23 15:56:13 GMT 2024","Tue Apr 23 15:56:13 GMT 2024","301","","GUI Tests","Failed Add Section Test","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
