"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 11:03:23 GMT 2024","Sun Apr 21 11:03:23 GMT 2024","201","","API Tests","Get Section Negative Tests","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"passed","Sun Apr 21 11:03:22 GMT 2024","Sun Apr 21 11:03:43 GMT 2024","21593","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Sun Apr 21 11:03:24 GMT 2024","Sun Apr 21 11:03:24 GMT 2024","252","","API Tests","Delete Case Tests","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Sun Apr 21 11:03:24 GMT 2024","Sun Apr 21 11:03:24 GMT 2024","216","","API Tests","Case API Tests","GetTest","GetCaseTest","GetCaseTest",""
"passed","Sun Apr 21 11:03:23 GMT 2024","Sun Apr 21 11:03:23 GMT 2024","204","","API Tests","Get Milestone Negative Tests","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Sun Apr 21 11:03:42 GMT 2024","Sun Apr 21 11:03:46 GMT 2024","3847","","GUI Tests","Failed Add Section Test","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"passed","Sun Apr 21 11:03:23 GMT 2024","Sun Apr 21 11:03:23 GMT 2024","236","","API Tests","Get Milestone Tests","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Sun Apr 21 11:03:22 GMT 2024","Sun Apr 21 11:03:42 GMT 2024","20390","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Sun Apr 21 11:03:22 GMT 2024","Sun Apr 21 11:03:47 GMT 2024","24889","","GUI Tests","Successful Add Section Test","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Sun Apr 21 11:03:22 GMT 2024","Sun Apr 21 11:03:23 GMT 2024","600","","API Tests","Section API Tests","GetTest","GetSectionTest","GetSectionTest",""
"passed","Sun Apr 21 11:03:43 GMT 2024","Sun Apr 21 11:03:49 GMT 2024","5613","","GUI Tests","Successful Limit Value Test","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Sun Apr 21 11:03:44 GMT 2024","Sun Apr 21 11:03:51 GMT 2024","6427","","GUI Tests","Successful Delete Section Test","SectionTest","DeleteSectionTest","DeleteSectionTest",""
"passed","Sun Apr 21 11:03:24 GMT 2024","Sun Apr 21 11:03:44 GMT 2024","20303","","GUI Tests","Successful PopUp Message Test","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"passed","Sun Apr 21 11:03:23 GMT 2024","Sun Apr 21 11:03:24 GMT 2024","264","","API Tests","Section API Tests","GetTest","AddCaseTest","AddCaseTest",""
