"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 13:38:58 GMT 2024","Sun Apr 21 13:38:58 GMT 2024","236","","API Tests","Case API Tests","GetTest","GetCaseTest","GetCaseTest",""
"passed","Sun Apr 21 13:38:58 GMT 2024","Sun Apr 21 13:39:09 GMT 2024","10662","","GUI Tests","Successful PopUp Message Test","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"passed","Sun Apr 21 13:38:58 GMT 2024","Sun Apr 21 13:38:58 GMT 2024","285","","API Tests","Delete Case Tests","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Sun Apr 21 13:39:08 GMT 2024","Sun Apr 21 13:39:14 GMT 2024","5987","","GUI Tests","Successful Limit Value Test","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Sun Apr 21 13:38:57 GMT 2024","Sun Apr 21 13:38:57 GMT 2024","224","","API Tests","Get Milestone Negative Tests","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Sun Apr 21 13:38:56 GMT 2024","Sun Apr 21 13:39:11 GMT 2024","15450","","GUI Tests","Successful Add Section Test","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Sun Apr 21 13:39:09 GMT 2024","Sun Apr 21 13:39:16 GMT 2024","6862","","GUI Tests","Successful Delete Section Test","SectionTest","DeleteSectionTest","DeleteSectionTest",""
"passed","Sun Apr 21 13:39:07 GMT 2024","Sun Apr 21 13:39:11 GMT 2024","3550","","GUI Tests","Failed Add Section Test","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"passed","Sun Apr 21 13:38:56 GMT 2024","Sun Apr 21 13:39:08 GMT 2024","12545","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Sun Apr 21 13:38:56 GMT 2024","Sun Apr 21 13:38:56 GMT 2024","696","","API Tests","Section API Tests","GetTest","GetSectionTest","GetSectionTest",""
"passed","Sun Apr 21 13:38:57 GMT 2024","Sun Apr 21 13:38:58 GMT 2024","310","","API Tests","Section API Tests","GetTest","AddCaseTest","AddCaseTest",""
"passed","Sun Apr 21 13:38:57 GMT 2024","Sun Apr 21 13:38:57 GMT 2024","235","","API Tests","Get Section Negative Tests","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"passed","Sun Apr 21 13:38:56 GMT 2024","Sun Apr 21 13:39:07 GMT 2024","11558","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Sun Apr 21 13:38:57 GMT 2024","Sun Apr 21 13:38:57 GMT 2024","260","","API Tests","Get Milestone Tests","GetTest","GetMilestoneTest","GetMilestoneTest",""
