"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 15:58:41 GMT 2024","Thu Apr 18 15:58:41 GMT 2024","237","","","","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"passed","Thu Apr 18 15:58:40 GMT 2024","Thu Apr 18 15:58:46 GMT 2024","5919","","","","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Thu Apr 18 15:58:40 GMT 2024","Thu Apr 18 15:58:44 GMT 2024","4036","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Thu Apr 18 15:58:42 GMT 2024","Thu Apr 18 15:58:42 GMT 2024","278","","","","GetTest","AddCaseTest","AddCaseTest",""
"passed","Thu Apr 18 15:58:42 GMT 2024","Thu Apr 18 15:58:42 GMT 2024","220","","","","GetTest","GetCaseTest","GetCaseTest",""
"passed","Thu Apr 18 15:58:42 GMT 2024","Thu Apr 18 15:58:45 GMT 2024","2105","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Thu Apr 18 15:58:40 GMT 2024","Thu Apr 18 15:58:45 GMT 2024","4589","","","","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"passed","Thu Apr 18 15:58:42 GMT 2024","Thu Apr 18 15:58:42 GMT 2024","305","","","","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Thu Apr 18 15:58:41 GMT 2024","Thu Apr 18 15:58:42 GMT 2024","207","","","","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Thu Apr 18 15:58:44 GMT 2024","Thu Apr 18 15:58:51 GMT 2024","6405","","","","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Thu Apr 18 15:58:40 GMT 2024","Thu Apr 18 15:58:41 GMT 2024","708","","","","GetTest","GetSectionTest","GetSectionTest",""
"passed","Thu Apr 18 15:58:45 GMT 2024","Thu Apr 18 15:58:48 GMT 2024","3217","","","","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"passed","Thu Apr 18 15:58:41 GMT 2024","Thu Apr 18 15:58:41 GMT 2024","213","","","","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
