"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 20:12:19 GMT 2024","Wed Apr 17 20:12:31 GMT 2024","11780","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Wed Apr 17 20:12:19 GMT 2024","Wed Apr 17 20:12:20 GMT 2024","769","","","","GetTest","GetSectionTest","GetSectionTest",""
"passed","Wed Apr 17 20:12:20 GMT 2024","Wed Apr 17 20:12:20 GMT 2024","256","","","","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
"failed","Wed Apr 17 20:12:19 GMT 2024","Wed Apr 17 20:12:35 GMT 2024","15892","","","","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Wed Apr 17 20:12:22 GMT 2024","Wed Apr 17 20:12:33 GMT 2024","10967","","","","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Wed Apr 17 20:12:31 GMT 2024","Wed Apr 17 20:12:33 GMT 2024","2381","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Wed Apr 17 20:12:20 GMT 2024","Wed Apr 17 20:12:21 GMT 2024","224","","","","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"passed","Wed Apr 17 20:12:31 GMT 2024","Wed Apr 17 20:12:35 GMT 2024","3768","","","","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"passed","Wed Apr 17 20:12:21 GMT 2024","Wed Apr 17 20:12:21 GMT 2024","295","","","","GetTest","AddCaseTest","AddCaseTest",""
"passed","Wed Apr 17 20:12:21 GMT 2024","Wed Apr 17 20:12:21 GMT 2024","265","","","","GetTest","GetCaseTest","GetCaseTest",""
"passed","Wed Apr 17 20:12:21 GMT 2024","Wed Apr 17 20:12:21 GMT 2024","262","","","","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Wed Apr 17 20:12:21 GMT 2024","Wed Apr 17 20:12:22 GMT 2024","359","","","","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Wed Apr 17 20:12:19 GMT 2024","Wed Apr 17 20:12:31 GMT 2024","12230","","","","SectionTest","PopUpMessageTest","PopUpMessageTest",""
