"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 20:31:39 GMT 2024","Sat Apr 20 20:31:40 GMT 2024","482","","API Tests","Section API Tests","GetTest","GetSectionTest","GetSectionTest",""
"failed","Sat Apr 20 20:31:39 GMT 2024","Sat Apr 20 20:32:40 GMT 2024","61195","","GUI Tests","Successful Add Section Test","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"failed","Sat Apr 20 20:32:40 GMT 2024","Sat Apr 20 20:33:40 GMT 2024","60126","","GUI Tests","Failed Add Section Test","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"failed","Sat Apr 20 20:31:39 GMT 2024","Sat Apr 20 20:32:40 GMT 2024","61195","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Sat Apr 20 20:31:41 GMT 2024","Sat Apr 20 20:31:41 GMT 2024","285","","API Tests","Delete Case Tests","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Sat Apr 20 20:31:41 GMT 2024","Sat Apr 20 20:31:41 GMT 2024","246","","API Tests","Case API Tests","GetTest","GetCaseTest","GetCaseTest",""
"passed","Sat Apr 20 20:31:40 GMT 2024","Sat Apr 20 20:31:41 GMT 2024","325","","API Tests","Section API Tests","GetTest","AddCaseTest","AddCaseTest",""
"passed","Sat Apr 20 20:31:40 GMT 2024","Sat Apr 20 20:31:40 GMT 2024","242","","API Tests","Get Milestone Tests","GetTest","GetMilestoneTest","GetMilestoneTest",""
"failed","Sat Apr 20 20:31:39 GMT 2024","Sat Apr 20 20:32:40 GMT 2024","61195","","GUI Tests","Successful PopUp Message Test","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"failed","Sat Apr 20 20:31:41 GMT 2024","Sat Apr 20 20:32:41 GMT 2024","60075","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"passed","Sat Apr 20 20:31:40 GMT 2024","Sat Apr 20 20:31:40 GMT 2024","203","","API Tests","Get Milestone Negative Tests","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"failed","Sat Apr 20 20:32:40 GMT 2024","Sat Apr 20 20:33:40 GMT 2024","60096","","GUI Tests","Successful Delete Section Test","SectionTest","DeleteSectionTest","DeleteSectionTest",""
"failed","Sat Apr 20 20:32:40 GMT 2024","Sat Apr 20 20:33:40 GMT 2024","60134","","GUI Tests","Successful Limit Value Test","SectionTest","LimitValueTest","LimitValueTest",""
"passed","Sat Apr 20 20:31:40 GMT 2024","Sat Apr 20 20:31:40 GMT 2024","203","","API Tests","Get Section Negative Tests","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
